;;;;;;;;;;;;;;;;;;;;;
;#;Player;Team;TS%;eFG%;Total S %;ORB%;DRB%;TRB%;AST%;TOV%;STL%;BLK%;USG%;PPR;PPS;ORtg;DRtg;eDiff;FIC;PER
;36.;Gregor Hrovat;DIJ;.606;.522;159.2;4.3;10.6;7.5;19.6;13.5;2.3;1.1;25.1;0.5;1.5;117.5;118.1;-0.6;248.4;18.0
;37.;Glynn Watson;LYV;.610;.558;173.4;2.3;12.1;7.5;28.4;11.9;1.3;0.0;21.3;5.4;1.4;127.3;110.3;17.1;189.8;17.9
;38.;Mouhamed Faye;PAR;.757;.760;141.6;15.6;24.4;20.2;2.4;22.9;1.9;6.5;11.9;-5.1;1.9;128.2;103.9;24.4;121.5;17.7
;39.;Zac Cuthbertson;CHA;.659;.569;169.9;5.7;13.7;9.7;8.2;10.0;3.0;0.4;17.5;-0.7;1.7;131.4;107.6;23.7;210.4;17.5
;40.;Sebastian Herrera;PAR;.629;.598;176.1;5.5;7.5;6.6;18.1;11.7;2.2;0.6;18.6;2.7;1.4;135.7;109.4;26.3;145.6;17.5
;41.;Leopold Cavaliere;PAR;.681;.657;161.3;11.6;16.8;14.3;11.4;16.5;2.0;0.8;13.8;-0.1;1.6;134.9;106.1;28.9;174.1;17.4
;42.;Kevarrius Hayes;ASM;.658;.610;135.0;10.8;16.6;14.0;5.7;13.4;2.6;5.6;13.8;-1.5;1.7;129.3;106.6;22.7;140.3;17.2
;43.;Joel Ayayi;PAR;.602;.590;154.6;10.8;16.4;13.7;22.5;23.7;3.6;0.8;16.8;0.7;1.3;119.2;102.1;17.1;171.6;17.2
;44.;Armel Traore;LYV;.574;.548;145.0;11.9;20.6;16.6;9.4;10.6;1.8;1.9;18.2;-0.4;1.3;121.0;104.1;16.9;96.6;17.1
;45.;Isaiah Cozart;NAN;.613;.645;106.5;14.8;21.0;17.8;4.8;11.5;2.2;6.3;11.5;-1.0;1.5;127.4;111.1;16.3;197.0;17.0
;46.;Nemanja Nedovic;ASM;.674;.632;183.9;2.1;8.5;5.6;26.2;15.1;1.3;0.0;20.1;4.2;1.5;126.7;113.9;12.8;113.4;17.0
;47.;Benjamin Sene;N92;.517;.480;146.8;2.2;7.0;4.6;42.7;15.2;2.3;0.2;25.8;7.8;1.1;115.0;110.3;4.7;199.5;17.0
;48.;David DiLeo;LEM;.602;.558;170.2;5.6;14.2;9.7;10.0;5.4;2.0;0.2;18.0;2.1;1.3;132.4;117.3;15.2;182.8;17.0
;49.;Bodian Massa;LYV;.600;.565;124.8;10.0;22.3;16.5;10.5;16.0;1.9;4.8;18.0;-2.1;1.4;115.9;103.1;12.8;120.6;17.0
;50.;Allan Julien Dokossi;PAR;.694;.707;125.2;14.4;27.8;21.3;20.0;28.5;2.0;1.4;12.0;1.1;1.6;125.8;100.8;25.0;148.8;16.9
;51.;Neal Quinn;PORT;.871;.875;162.5;11.0;25.2;17.9;29.4;33.9;1.0;1.9;12.3;0.6;2.1;128.9;120.8;8.1;23.8;16.8
;52.;Ricky Lindo;JLB;.645;.629;164.3;10.1;17.5;13.8;9.1;8.8;1.5;3.7;14.4;0.8;1.5;133.2;109.9;23.4;164.1;16.8
;53.;Lionel Gaudoux;CHA;.618;.578;126.8;9.7;15.6;12.6;18.3;21.4;2.8;2.2;20.7;-3.1;1.5;109.8;105.4;4.5;185.3;16.7
;54.;Both Gach;JLB;.614;.543;165.0;1.6;13.9;7.8;13.5;12.1;1.8;0.9;23.1;-1.1;1.5;119.2;111.9;7.4;174.0;16.6
;55.;Daulton Hommes;PAR;.693;.651;187.6;6.1;7.9;7.0;7.5;10.6;2.1;3.6;14.6;-0.2;1.5;144.1;105.0;39.1;60.3;16.6
;56.;Eddie Ekiyor;SQB;.580;.562;128.5;9.0;15.8;12.2;7.5;10.8;1.4;2.7;20.2;-2.2;1.4;114.5;114.8;-0.3;208.0;16.5
;57.;Tre Mitchell;JLB;.659;.636;167.0;6.4;14.5;10.4;14.0;16.4;1.4;1.3;19.7;-1.9;1.6;119.9;112.6;7.3;136.0;16.5
;58.;Nick Johnson;SQB;.548;.479;154.1;3.1;12.1;7.3;39.0;19.5;2.3;1.4;24.9;3.8;1.3;109.4;114.4;-4.9;244.4;16.5
;59.;Adam Atamna;LYV;.603;.542;171.7;2.0;9.5;5.9;23.6;16.9;1.9;0.9;24.3;0.2;1.4;115.4;109.6;5.8;104.3;16.5
;60.;Hugo Yimga Moukouri;N92;.660;.586;179.7;8.1;18.0;13.0;3.1;10.2;0.8;0.9;17.0;-2.6;1.6;133.5;110.3;23.2;133.1;16.5
;61.;Amath M'Baye;PAR;.704;.660;179.7;3.3;9.4;6.5;10.0;18.6;1.3;0.3;21.5;-5.0;1.7;124.5;114.0;10.5;102.0;16.4
;62.;Marcus Keene;STR;.515;.456;145.1;1.7;9.2;5.4;37.6;15.2;1.5;0.0;31.1;3.8;1.2;111.3;116.6;-5.3;179.0;16.4
;63.;Valentin Chery;GRV;.621;.624;116.1;12.1;23.8;17.7;11.8;16.4;1.8;1.6;15.8;-1.1;1.6;120.4;117.2;3.2;193.8;16.4
;64.;Edwin Jackson;LYV;.580;.538;179.1;3.8;11.9;8.1;19.9;8.3;1.3;0.0;20.3;4.8;1.3;128.0;111.8;16.2;80.0;16.3
;65.;Enzo Andre Shahrvin;PAR;.677;.619;161.9;25.2;21.9;23.5;10.0;33.7;1.4;11.2;10.5;-3.1;1.5;125.9;97.4;28.5;59.3;16.1
;66.;Gauthier Denis;GRV;.659;.631;167.1;3.0;13.7;8.1;16.6;13.7;1.2;0.7;19.8;0.1;1.5;121.3;121.7;-0.3;137.4;16.1
;67.;TaShawn Thomas;LEM;.624;.589;151.5;5.8;14.2;9.8;11.8;13.4;1.3;1.9;18.3;-0.6;1.5;122.0;118.0;4.0;161.6;16.0
;68.;Lamar Stevens;PAR;.595;.515;179.2;5.1;17.3;11.5;10.7;15.0;1.4;2.7;22.6;-3.3;1.4;119.3;109.4;9.9;79.6;16.0
